Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Wed May 04 02:00:29 +0000 2022;90719.0;1888.0;;;1521671073892380674;"#NoticiaW | La excongresista Aída Merlano declaró que parte del dinero que se recibió a modo de “coimas” para su campaña, se habría usado en la campaña presidencial del actual mandatario Iván Duque Márquez.

https://t.co/tMYQBq3ruT";shirley2096;801040554.0;Mamoncillo 💜💚💙;0.0;;[]
Wed May 04 02:00:27 +0000 2022;68482.0;590.0;;Cartagena, Colombia;1521671063108784129;"A mí cuando no me quieren, yo me voy.

no entiendo a Iván Duque.";ldpino_;4095010743.0;Lu;0.0;;[]
Wed May 04 02:00:27 +0000 2022;48100.0;1717.0;;Bogotá, D.C., Colombia;1521671062068633600;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;AndresO82710091;7.006559944355553e+17;Edgard A. Orjuela;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:26 +0000 2022;40380.0;2304.0;;colombia;1521671058000072704;Iván Duque denunciará a Gerlein porque a su campaña sólo le llegaron 3000 millones.;jnkcor;132345015.0;lexcor;0.0;;[]
Wed May 04 02:00:25 +0000 2022;4.0;3.0;;;1521671053692608514;;Antonio19720751;1.504916339806421e+18;Antonio Garcia;0.0;;[{'url': 'https://t.co/FLCybpFVVl', 'expanded_url': 'https://twitter.com/i/web/status/1521671053692608514', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Wed May 04 02:00:24 +0000 2022;1949.0;283.0;;Barranquilla Colombia ;1521671052442624000;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;harlinfernandez;1054070184.0;BETISTA D CORAZÓN ♥;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:22 +0000 2022;9325.0;329.0;;Bogotá, D.C., Colombia;1521671042116296704;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;KriegerWaleria;1.108799527866323e+18;Waleria Krieger;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:21 +0000 2022;52.0;682.0;;;1521671039062794242;4 años tuvo Iván Duque para haberle subido los ingresos a los policías, pero lo hace justo a 3 meses de terminar su mandato y en plena campaña presidencial con miembros de la fuerza pública participando en política. Este tipo de acciones siguen alimentando un Golpe de Estado;SastoqueGonza;379496430.0;Jaime Sastoque Gonza;0.0;;[]
Wed May 04 02:00:19 +0000 2022;7250.0;1656.0;;Fort Lauderdale, FL;1521671032037330945;"Mientras el candidato Petro ataca la Policía y el Senador Gustavo Bolívar propone acabar el ESMAD, el Presidente Iván Duque acaba de firmar el decreto que ordena el aumento salarial más alto desde 1993 a los miembros de la Policía Nacional.

¡Dios y Patria!";_ellibertario;1.1649877483669135e+18;EL CONSERVADOR LIBERTARIO;0.0;;[]
Wed May 04 02:00:09 +0000 2022;3434.0;5001.0;;;1521670988299182080;;robertoboyaca22;3030077353.0;roberto alvarez;0.0;;[{'url': 'https://t.co/Hhbj3haF4l', 'expanded_url': 'https://twitter.com/i/web/status/1521670988299182080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]
Wed May 04 02:00:05 +0000 2022;10208.0;3167.0;;Gunsan-si, Republic of Korea;1521670972381794306;Aida Merlano acaba de asegurar que la campaña del presidente Iván Duque en 2018 recibió 6 mil millones de pesos de Julio Gerlein. Los magistrados de la @CorteSupremaJ le hicieron jurar para que no estuviera incurriendo en falso testimonio;xInconformistax;2896878976.0;₩Inconformista¥;0.0;;[]
Wed May 04 02:00:04 +0000 2022;52767.0;1551.0;;Bogota D.C.;1521670967830929408;Aida Merlano afirmó que se usaron dineros de la Nación para financiar la campaña de Iván Duque https://t.co/zlAz0geBIs;Andres12_018;524796657.0;Andrés Felipe⚽🇨🇴;0.0;;[{'url': 'https://t.co/zlAz0geBIs', 'expanded_url': 'https://www.lafm.com.co/judicial/aida-merlano-afirmo-que-se-usaron-dineros-de-la-nacion-para-financiar-la-campana-de-ivan?t=1651622899', 'display_url': 'lafm.com.co/judicial/aida-…', 'indices': [105, 128]}]
Wed May 04 02:00:01 +0000 2022;22.0;155.0;;;1521670956493815808;4 años tuvo Iván Duque para haberle subido los ingresos a los policías, pero lo hace justo a 3 meses de terminar su mandato y en plena campaña presidencial con miembros de la fuerza pública participando en política. Este tipo de acciones siguen alimentando un Golpe de Estado;joseama25660627;7.844784048716145e+17;jose amaya;0.0;;[]
